conflict,land,agrtit,anymitiguse,fenc,ntwh,gdan,lgtn,scrd,cley,dp,dw,elev,fc1km,fc3km,lvstkown,grzlvstkhouse,grzcattlehouse,grzgoathouse,grzlvstkforest,hht,pctmen,gender,age,ncrop,rice,soya,cotton,channa,wheat,crmgen,crfenc,crntwh,crgdan,crlgtn,crscrd,crbush,lpmgen,lpfenc,lpntwh,lpgdan,lplgtn,lpscrd,lpcley,yrsofarming,crincmloss,lpincmloss,lessrain,morerain,partcommact,localofffence,localofflight,localofftrench,conflhhtask,conflfuel,conflcrops,confldomes,conflwater,jvcarn,jvherb,fbcarn,fbherb,mrcarn,mrherb,apcarn,apherb,mycarn,myherb,jncarn,jnherb,jlcarn,jlherb,agcarn,agherb,spcarn,spherb,occarn,ocherb,nvcarn,nvherb,dccarn,dcherb,migrtnstatus,chldatndschl,obtainwood,obtaingraze,obtainntfp,intrctfd,faceconflfd,fdfuel,fdgraze,valutgr,valulprd,valupig,valuchtl,valunlgi,valusmbr,crpig,crchtl,crnlgi,crsmbr,lplprd,lptgr,rptgovcr,rptgovlp,rptgovpig,rptgovchtl,rptgovnlgi,rptgovsmbr,rptgovlprd,rptgovtgr,Ilm,less8m,totwelvem,abvtwelvem,Ilf,less8f,totwelvef,abvtwelvef,highschledu,crhh,lphh,cattleown,bufflown,goatown,comprec,Il,less8,totwelve,abvtwelve,imppa,chngpa,obtainres,freqres,conflyear,fdaccess
1,9.5,1,1,0,1,1,0,1,0,9.370259,0.114603,0.243450228,1.924878484,17.39933801,4,4,4,0,0,5,60,1,22,4,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,50,10000,NA,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,0,1,0,1,0,1,1,0,NA,NA,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,2,0,0,1,1,0,3,1,0,4,0,0,0,0,2,3,0,1,1,1,0,50,1
1,14,1,1,0,1,1,0,1,0,9.380907,0.143594,0.243450228,1.814824321,16.54367679,5,5,5,0,0,5,60,1,29,5,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,50,10000,NA,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,0,0,0,1,0,1,1,1,NA,NA,NA,1,1,0,1,1,1,0,0,1,1,0,5,0,0,1,2,2,0,1,1,1,2,1,50,1
1,5,1,1,1,1,1,1,1,0,11.42563,0.192496,0.243450228,2.195436409,27.15321024,2,2,0,0,1,4,50,1,24,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,50,40000,NA,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,NA,NA,0,1,2,0,1,0,1,0,3,1,0,0,2,0,0,1,1,3,0,0,1,0,0,50,0
1,20,1,1,1,1,0,0,0,0,11.361126,0.086539,0.243450228,2.596073414,25.48911118,6,6,2,2,1,4,50,1,22,5,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,40,30000,NA,0,1,0,1,1,1,1,1,1,0,0,NA,NA,NA,NA,1,0,1,0,1,0,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,0,1,0,NA,NA,1,NA,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,1,1,2,1,1,1,0,0,3,1,0,2,2,2,NA,2,2,2,1,1,1,0,0,40,1
1,2.5,1,1,1,1,0,0,1,0,13.779894,2.300968,0.246726582,10.3327636,23.0658151,0,0,0,0,NA,4,75,1,65,3,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,50,25000,NA,0,1,1,1,1,1,1,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,0,1,1,1,NA,NA,NA,0,0,3,0,0,1,1,0,4,1,0,0,0,0,0,0,1,4,0,1,1,2,0,50,2
1,15,1,1,0,1,0,0,0,0,13.746369,2.332271,0.246726582,10.21601032,23.155261,9,9,7,2,1,4,25,0,22,5,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,NA,NA,0,1,0,1,NA,NA,0,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,0,0,0,0,0,NA,NA,1,NA,NA,NA,1,0,1,0,0,0,0,0,0,NA,0,NA,NA,NA,0,1,1,0,0,1,1,0,2,1,0,7,NA,2,NA,0,2,2,0,1,1,1,1,35,0
1,6,1,1,1,1,1,1,1,0,13.719073,2.359155,0.246726582,10.35105562,23.21291024,5,5,2,0,0,8,37.5,0,40,4,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,40,10000,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,0,0,0,1,0,1,1,1,NA,NA,NA,0,1,2,0,0,1,0,0,2,1,0,2,3,0,0,0,2,2,0,0,1,4,1,50,6
1,5,1,1,0,1,0,0,0,0,13.711152,2.366795,0.246726582,10.33769096,23.21982338,3,3,2,0,0,4,25,1,65,3,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,17.5,10000,NA,NA,NA,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,2,1,0,3,1,0,2,1,0,0,0,2,2,1,1,1,0,0,40,2
1,18,1,1,0,1,0,0,1,0,13.663868,2.414135,0.246726582,11.00634842,23.3614209,5,5,5,0,1,3,66.66666667,1,35,4,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,20,25000,NA,NA,NA,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,0,1,1,0,0,0,2,0,3,1,0,5,0,0,0,0,1,3,0,1,1,1,0,30,0
1,4,1,1,0,0,0,0,1,1,8.460912,0.14086,0.243375673,7.681757658,4.815231921,3,3,3,0,0,4,25,1,60,3,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,40,20000,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,NA,1,NA,NA,NA,1,0,0,1,0,0,0,0,0,NA,NA,0,NA,NA,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,1,5,1,30,6
